RESDATE;CONTRACTNO;CURRENCY;EXCHANGERATE;FXRATEDIRECTION;INOUTFLOW;FLOWTYPE;D1;D2;D3;D4;D5;D6;D7;M1;M2_3;M4_6;M7_9;M10_12;Y2;Y3_5;Y5_10;YREST
31.01.2013;1;AED;1;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;2;USD;1;N;Lim;;410000;410000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;3;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;0;590000;0;0;0;0
31.01.2013;4;JPY;0.0098;N;In;;0;0;-230000;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;5;JPY;0.0098;N;Out;;0;0;0;0;0;0;0;0;0;-430000;0;0;0;0;0;0
31.01.2013;6;AED;1;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;920000;0;0;0
31.01.2013;7;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;8;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;-560000;0;0;0;0;0;0
31.01.2013;9;AED;1;N;Out;;0;0;0;-40000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;10;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;290000;0;0;0
31.01.2013;11;JPY;0.0098;N;In;;0;0;0;0;0;60000;0;0;0;0;0;0;0;0;0;0
31.01.2013;12;JPY;0.0098;N;Out;;0;0;0;0;0;0;0;0;0;0;0;-40000;0;0;0;0
31.01.2013;13;USD;1;N;In;;0;0;0;0;0;70000;0;0;0;0;0;0;0;0;0;0
31.01.2013;14;EUR;1.37;N;Out;;0;0;0;0;0;0;0;0;0;0;0;-420000;0;0;0;0
31.01.2013;15;EUR;1.37;N;In;;0;0;0;0;0;0;110000;0;0;0;0;0;0;0;0;0
31.01.2013;16;USD;1;N;Out;;0;0;0;0;0;0;0;0;0;0;-830000;0;0;0;0;0
31.01.2013;17;AED;1;N;In;;0;660000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;18;USD;1;N;Lim;;730000;730000;730000;730000;730000;730000;730000;730000;730000;730000;730000;0;0;0;0;0
31.01.2013;19;CHF;1.19;N;In;;0;0;0;0;0;0;0;0;0;0;0;880000;0;0;0;0
31.01.2013;20;CHF;1.19;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;21;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;320000;0;0;0
31.01.2013;22;USD;1;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;23;CHF;1.19;N;In;;0;0;0;0;0;0;0;0;0;0;0;500000;0;0;0;0
31.01.2013;24;AED;1;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;25;AED;1;N;Lim;;570000;570000;570000;570000;570000;570000;570000;570000;570000;570000;570000;570000;0;0;0;0
31.01.2013;26;USD;1;N;Out;;0;0;0;0;0;0;0;-50000;0;0;0;0;0;0;0;0
31.01.2013;27;AED;1;N;In;;0;0;0;0;0;0;0;0;0;0;0;730000;0;0;0;0
31.01.2013;28;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;730000;0;0;0;0;0
31.01.2013;29;EUR;1.37;N;Out;;0;0;0;0;0;0;0;0;0;0;-430000;0;0;0;0;0
31.01.2013;30;CHF;1.19;N;In;;0;0;0;0;0;0;0;0;0;100000;0;0;0;0;0;0
31.01.2013;31;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;0;0;0;-590000;0;0;0
31.01.2013;32;EUR;1.37;N;In;;0;430000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;33;USD;1;N;Out;;0;0;0;0;0;0;-720000;0;0;0;0;0;0;0;0;0
31.01.2013;34;EUR;1.37;N;In;;0;0;0;0;0;0;0;290000;0;0;0;0;0;0;0;0
31.01.2013;35;EUR;1.37;N;Out;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;36;JPY;0.0098;N;Lim;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;37;EUR;1.37;N;In;;0;0;0;0;0;0;0;0;0;0;10000;0;0;0;0;0
31.01.2013;38;AED;1;N;Lim;;80000;80000;80000;80000;80000;80000;80000;80000;80000;0;0;0;0;0;0;0
31.01.2013;39;AED;1;N;In;;0;0;-270000;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;40;EUR;1.37;N;Out;;0;0;0;0;0;0;-430000;0;0;0;0;0;0;0;0;0
31.01.2013;41;USD;1;N;Lim;;940000;940000;940000;940000;940000;940000;940000;940000;0;0;0;0;0;0;0;0
31.01.2013;42;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;43;USD;1;N;Out;;0;0;0;0;0;0;0;0;0;0;0;-50000;0;0;0;0
31.01.2013;44;EUR;1.37;N;In;;0;0;0;0;0;790000;0;0;0;0;0;0;0;0;0;0
31.01.2013;45;JPY;0.0098;N;Lim;;470000;470000;470000;470000;470000;470000;470000;470000;470000;470000;470000;470000;0;0;0;0
31.01.2013;46;AED;1;N;Lim;;130000;130000;130000;130000;130000;130000;130000;130000;130000;0;0;0;0;0;0;0
31.01.2013;47;USD;1;N;Lim;;200000;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;48;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;0;0;0;-350000;0;0;0
31.01.2013;49;USD;1;N;In;;0;0;0;880000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;50;USD;1;N;Out;;0;0;0;0;0;-580000;0;0;0;0;0;0;0;0;0;0
31.01.2013;51;AED;1;N;In;;0;0;0;0;0;0;0;580000;0;0;0;0;0;0;0;0
31.01.2013;52;AED;1;N;Out;;-640000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;53;JPY;0.0098;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;500000;0;0;0
31.01.2013;54;USD;1;N;In;;0;0;0;0;0;0;0;0;0;0;850000;0;0;0;0;0
31.01.2013;55;EUR;1.37;N;In;;0;0;0;0;0;0;0;50000;0;0;0;0;0;0;0;0
31.01.2013;56;EUR;1.37;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;57;JPY;0.0098;N;Out;;0;0;0;0;0;0;0;-70000;0;0;0;0;0;0;0;0
31.01.2013;58;USD;1;N;Out;;0;0;0;0;0;0;0;0;0;0;-570000;0;0;0;0;0
31.01.2013;59;AED;1;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;60;USD;1;N;Out;;0;0;0;0;0;0;0;0;0;0;-30000;0;0;0;0;0
31.01.2013;61;CHF;1.19;N;Out;;0;0;0;0;0;0;-950000;0;0;0;0;0;0;0;0;0
31.01.2013;62;AED;1;N;In;;0;0;0;0;0;0;0;0;0;860000;0;0;0;0;0;0
31.01.2013;63;USD;1;N;Out;;0;0;0;-990000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;64;EUR;1.37;N;In;;950000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;65;EUR;1.37;N;In;;0;690000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;66;AED;1;N;Out;;0;0;0;0;0;0;0;-20000;0;0;0;0;0;0;0;0
31.01.2013;67;EUR;1.37;N;Out;;0;0;0;0;0;0;0;0;0;0;0;-970000;0;0;0;0
31.01.2013;68;USD;1;N;Lim;;430000;430000;430000;430000;430000;430000;430000;430000;430000;0;0;0;0;0;0;0
31.01.2013;69;AED;1;N;In;;0;0;0;0;0;0;0;0;0;0;760000;0;0;0;0;0
31.01.2013;70;JPY;0.0098;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;910000;0;0;0
31.01.2013;71;USD;1;N;Out;;0;0;0;0;0;0;0;0;-940000;0;0;0;0;0;0;0
31.01.2013;72;CHF;1.19;N;In;;0;0;0;0;0;0;0;0;0;0;0;150000;0;0;0;0
31.01.2013;73;AED;1;N;Out;;0;0;0;0;0;0;0;-940000;0;0;0;0;0;0;0;0
31.01.2013;74;USD;1;N;Out;;-590000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;75;USD;1;N;Out;;0;0;0;0;0;-790000;0;0;0;0;0;0;0;0;0;0
31.01.2013;76;USD;1;N;Lim;;70000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;77;EUR;1.37;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;78;AED;1;N;Out;;0;0;0;0;0;0;0;-780000;0;0;0;0;0;0;0;0
31.01.2013;79;USD;1;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;80;AED;1;N;Out;;0;0;0;0;0;0;0;-250000;0;0;0;0;0;0;0;0
31.01.2013;81;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;0;0;0;-340000;0;0;0
31.01.2013;82;AED;1;N;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;83;AED;1;N;Out;;0;0;0;0;0;0;0;0;0;0;-310000;0;0;0;0;0
31.01.2013;84;AED;1;N;Lim;;580000;580000;580000;580000;580000;580000;580000;580000;580000;580000;0;0;0;0;0;0
31.01.2013;85;AED;1;N;Out;;0;-630000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;86;AED;1;N;In;;0;0;0;20000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;87;JPY;0.0098;N;In;;0;0;0;0;0;0;0;0;180000;0;0;0;0;0;0;0
31.01.2013;88;AED;1;N;In;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;89;AED;1;N;In;;0;0;0;0;0;440000;0;0;0;0;0;0;0;0;0;0
31.01.2013;90;EUR;1.37;N;In;;0;0;0;820000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;91;USD;1;N;In;;0;0;0;0;0;0;0;710000;0;0;0;0;0;0;0;0
31.01.2013;92;USD;1;N;In;;0;0;0;0;0;560000;0;0;0;0;0;0;0;0;0;0
31.01.2013;93;JPY;0.0098;N;Out;;0;0;0;0;0;0;0;-510000;0;0;0;0;0;0;0;0
31.01.2013;94;AED;1;N;Out;;0;0;0;-970000;0;0;0;0;0;0;0;0;0;0;0;0
31.01.2013;95;EUR;1.37;N;Out;;-620000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
